title,exercise_type,target_muscle_group,equipment,experience_level,exercise_rating,exercise_rating_description,alternative_exercises
Holman Burpee to 180 Jump,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Side Elbow Plank with Right Leg Swing,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Deadlift to Overhead Press,Strength,Lower Back,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Arm Weighted Half Jack,Strength,Lats,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Leg Right Arm Weighted Pike,Strength,Abdominals,N/A,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Arm Weighted Half Jack,Strength,Lats,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Leg Left Arm Weighted Pike,Strength,Abdominals,N/A,Intermediate,n/a,Not Yet Rated,N/A
Holman Traveling Low Jack to Belly Touch,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight Plank with Alternating Diagonal Sit-Back,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Hovering Plank Row,Strength,Abdominals,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Lunge Jump with Biceps Curl,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Reverse Lunge Chest Press to Left Knee-Up Chest Press,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Lunge Jump with Chest Press,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Boat Press with Leg Extension,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Half Jack to Biceps Curl,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Half Jack to Chest Press,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Lateral High Knees to Quad Touch Jump,Strength,Glutes,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Shoulder Tap to Dirty Dog,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Flying Squat Thrust to Shoulder Tap,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Squat Jump to Alternating Side Lunge Jump,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Standing Russian Twist,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Low Squat with Low Diagonal Dumbbell Punch,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Leg Hop to Right Reverse Lunge,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Leg Hop to Left Reverse Lunge,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Seated Killer Abs to Russian Twist,Strength,Abdominals,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Burpee to Open Stance,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Dumbbell Hip Drive to Overhead Press,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Hovering Plank with Shoulder Tap,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Froggy Push-Up to Donkey Kick,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Elbow Plank to Stacked Plank Hip Drop,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Elbow Plank to Walk-Up Pike,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Bodyweight Triceps Rope Press,Strength,Triceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Renegade Row,Strength,Lats,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Renegade Row with Opposite Foot Step-Out,Strength,Lats,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Renegade Row to Weighted Burpee,Strength,Lats,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Renegade Punch-Under,Strength,Lats,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Renegade Row to Split Jump,Strength,Lats,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Renegade Triceps Press,Strength,Triceps,N/A,Intermediate,n/a,Not Yet Rated,N/A
Holman Hill Climber,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Hovering Renegade Row,Strength,Abdominals,N/A,Intermediate,n/a,Not Yet Rated,N/A
Holman Hovering Renegade Triceps Press,Strength,Triceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Squat Thrust to Alternating Renegade Triceps Press,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Diagonal Squat Thrust to Renegade Forward Punch,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman 180 Jump to Renegade Side Raise,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Reverse Lunge Biceps Curl to Right Knee-Up Biceps Curl,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight Plank Pike to Renegade Row,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Dirty Dog to Renegade Row,Strength,Lats,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Burpee to Renegade Side Punch,Strength,Quadriceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Heavy Triceps Press to Overhead Press,Strength,Triceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Elbow Plank to Renegade Row,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Roll-Back to Squat Thrust to Renegade Row,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Roll-Back to Squat Thrust to Renegade Triceps Press,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Renegade Row to Side Punch to Forward Punch,Strength,Lats,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Bear Crawl,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Alternating Hip Drop to Push-Up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Bear Crawl to Donkey Kick,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Push-Up to Sit Back,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Bear Crawl to Froggy Push-Up,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Crab Kick,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Wounded Bear Crawl,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Alternating Crab Reach,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Bear Crawl to Shoulder Tap,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Staggered-Stance Deadlift,Strength,Lower Back,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Hovering Panther Core Stabilizer,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Burpee to Forward Lunge,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Seated Knee Pull-In Series,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Burpee to Tuck Jump,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Reverse Lunge to Knee-Up Overhead Press,Strength,Quadriceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Burpee to Flying Squat Thrust to Tuck Jump,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Elbow Plank Pike,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Heavy Triceps Overhead Press,Strength,Triceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight Plank Weighted Hand Hill Climber,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Elbow Plank Jack to Straight Plank Split Jack,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Forward Lunge to Reverse Lunge,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Lunge Jump with Overhead Press,Strength,Quadriceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Boat Pull-Over,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Squat Pulse to Plyometric Jump,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Left Side Diagonal Pike,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Right Side Diagonal Pike,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Renegade Lunge Jump,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Burpee to Belly Touch to Standing T,Strength,Quadriceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted W-Boat to Overhead Press,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Sit Back Push-Up,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Squat Jump to Lunge Jump,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Prisoner Reverse Lunge,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Wide-to-Narrow Squat Jump,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Donkey Run,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Hands Down Heel Click,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Kneeling Lift,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Squat Jump,Strength,Quadriceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Hips-Up Weighted Pull-Over,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Narrow Squat Jump,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Wide-to-Narrow Squat Jump,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Diagonal Deadlift,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight Plank to Kick-Up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Daisy Cutter,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Wide-to-Narrow Donkey Kick,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Mule Kick,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Frogger,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Plie Squat,Strength,Quadriceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Heels-Elevated Sissy Squat,Strength,Quadriceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight Plank Dumbbell Reach-Under,Strength,Abdominals,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Goal Post to Squat,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Cross Punch,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Hip Raise with Chest Press,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Squat Jump to Overhead Press,Strength,Quadriceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight-Leg Boat Hover Chest Press,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Pike,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman 180 Jump to Overhead Press,Strength,Quadriceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Cheer Press,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Kneeling Overhead Press to Donkey Kick,Strength,Shoulders,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight-Arm Side Plank Overhead Press to Chest Press,Strength,Abdominals,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Double-Arm Cross Punch,Strength,Lats,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Hands-Elevated Split Jack,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Feet-Elevated Plank Reach,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Feet-Elevated Wax-On Wax-Off,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Hand-Elevated Side Plank Semicircle,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Hands-Elevated Straight Plank Pike,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Kettlebell Squat Clean,Strength,Quadriceps,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Holman Kettlebell Swing,Strength,Quadriceps,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Holman Kettlebell Up to Elbow Down,Strength,Abdominals,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Holman Kettlebell Swing Transfer,Strength,Quadriceps,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Burpee to Row,Strength,Quadriceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Burpee to 180 Jump,Strength,Quadriceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Burpee to Triceps Press,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Burpee to Pike,Strength,Abdominals,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Alternating Staggered Push-Up,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Foot-Up Diving Push-Up,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Narrow Push-Up,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Dynamo Push-Up,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Jump to Push-Up,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Deadlift to Front Raise,Strength,Lower Back,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Deadlift to Chest Press,Strength,Lower Back,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Deadlift to Squat Thrust,Strength,Lower Back,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Deadlift to Biceps Curl,Strength,Lower Back,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Alternating Rolling Elbow Plank,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Elbow Plank Jack,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Leg Pike,Strength,Abdominals,N/A,Intermediate,n/a,Not Yet Rated,N/A
Holman Squat Thrust to Alternating Knee-In,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Supine Double Pike,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Elbow Plank Alternating Pike,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Seated Killer Abs,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Elbow Plank to Towel Pike,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Side Plank Hip Drop,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Wide Hill Climber,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight-Legged Bicycle,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Frogger Squat to Heel Click,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Stair Toe Tap,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Elbow Plank Ninja,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Traveling Stair Climb Push-Up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Hands-Elevated Burpee,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Stair Sprint,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Stair Bear Crawl,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight Plank Donkey Kick,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Feet-Elevated Straight Plank Pike Pull,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Towel Burpee,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Elbow Plank to Alternating Side Plank Crunch,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight-Legged Hip Raise,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Feet-Elevated Hill Climber,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Burpee to Flying Squat Thrust,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight-Legged Boat Chest Press,Strength,Abdominals,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Standing Flat Back Row,Strength,Lats,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Arm Press with Right Arm Hold,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Arm Press with Left Arm Hold,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Ninja Knee Hill Climber,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted 180 Jump,Strength,Quadriceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Seated Killer Abs Overhead Press,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Front Raise with Right Hold,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Front Raise with Left Hold,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Burpee to Side Delt Raise,Strength,Abdominals,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Squat Thrust Overhead Press,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Flying Squat Thrust to Push-Up,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Foot-Elevated Push-Up,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Foot-Elevated Step-To-Lunge,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Split Lunge,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Stair Climb,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Diagonal Pike,Strength,Abdominals,N/A,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Straight Plank to Kick-Up,Strength,Abdominals,N/A,Intermediate,n/a,Not Yet Rated,N/A
Holman Alternating Front Raise to Side Raise,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Burpee to Chest Press,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Burpee to Flying Jack,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Reverse Lunge,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Reverse Lunge,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Squat Tap to Hop,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Feet-Elevated Shoulder Tap,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Feet-Elevated Hip Raise,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Squat Tap to Jump-Forward-Jump-Back,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Hand Right Foot Crab Reach,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Alternating Crab Flip to Froggy Push-Up to Kicks,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Hand Left Foot Sleeping Crab,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Hand Right Foot Sleeping Crab,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Squat to Right-Arm Overhead Press,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Heavy Right Arm Overhead Press,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Heavy Left Arm Overhead Press,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Lunge Jump with Right Overhead Press,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Lunge Jump with Left Overhead Press,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Squat Hip Drive,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Heavy Hip Drive,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Squat to Left-Arm Overhead Press,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Alternating Double Lunge Hop,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Alternating Forward and Side Punch,Strength,Lats,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight Plank with Alternating Leg Kick-Under,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Lunge Jump to Floor Lunge Jump,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Reverse Lunge to Front Kick,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Hip Drop Push-Up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Leg Forward Lunge Hop,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Arm Heavy Overhead Press,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Side Diagonal Burpee,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Diagonal Lunge to Overhead Press,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Squat Thrust,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Reverse Lunge to Front Kick,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Hip Drop Push-Up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Leg Forward Lunge Hop,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Arm Heavy Overhead Press,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Side Diagonal Burpee,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Diagonal Lunge to Overhead Press,Strength,Quadriceps,N/A,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Squat Thrust,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Biceps Curl to Chest Punch,Strength,Biceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Wide Squat Thrust,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Leg 7-Up Crunch,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Leg 7-Up Crunch,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight Plank Jack,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Alternating Weighted Lunge Jump to Chest Press,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Feet-Elevated Couch Hill Climber,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Feet-Elevated Push-Up,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Feet-Elevated Right Side Plank,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Alternating Up-Down Plank to Push-Up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Narrow-Mid-Wide Hop,Strength,Quadriceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Arm Heavy Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Arm Heavy Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Burpee to Overhead Alternating Reverse Lunge,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Holman Alternating Single-Leg Hop to Squat to 180 Jump,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight Plank Alternating Weighted Open,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight Plank Pike,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Alternating Weighted Diagonal Burpee,Strength,Quadriceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Overhead Weighted Triceps Press,Strength,Triceps,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Right Lunge Hop to Chest Press,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Left Lunge Hop to Overhead Press,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Ninja Knee Straight Plank,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman 180 Jump Hop Forward Hop Back,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Reverse Crunch to Hip Raise,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted Killer Abs with Overhead Press,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
Holman Couch Triceps Dip,Strength,Triceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Straight Plank Quick Reach,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Holman Weighted 180 Jump to Chest Press,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
